CarNames,Mpg,Cylnd,engine,HorsePower,Vehicle Weight,Time,Model Year,Origin
chevrolet chevelle malibu,18,8,307,130,3504,12,70,1
buick skylark 320,15,8,350,165,3693,11.5,70,1
plymouth satellite,18,8,318,150,3436,11,70,1
amc rebel sst,16,8,304,150,3433,12,70,1
ford torino,17,8,302,140,3449,10.5,70,1
ford galaxie 500,15,8,429,198,4341,10,70,1
chevrolet impala,14,8,454,220,4354,9,70,1
plymouth fury iii,14,8,440,215,4312,8.5,70,1
pontiac catalina,14,8,455,225,4425,10,70,1
amc ambassador dpl,15,8,390,190,3850,8.5,70,1
chevrolet chevelle concours (sw),16,8,350,165,4142,11.5,70,1
ford torino (sw),19,8,351,153,4034,11,70,1
plymouth satellite (sw),18,8,383,175,4166,10.5,70,1
amc rebel sst (sw),22,8,360,175,3850,11,70,1
dodge challenger se,15,8,383,170,3563,10,70,1
plymouth 'cuda 340,14,8,340,160,3609,8,70,1
ford mustang boss 302,20,8,302,140,3353,8,70,1
chevrolet monte carlo,15,8,400,150,3761,9.5,70,1
buick estate wagon (sw),14,8,455,225,3086,10,70,1
plymouth duster,22,6,198,95,2833,15.5,70,1
amc hornet,18,6,199,97,2774,15.5,70,1
ford maverick,21,6,200,85,2587,16,70,1
amc gremlin,21,6,199,90,2648,15,70,1
ford f250,10,8,360,215,4615,14,70,1
chevy c20,10,8,307,200,4376,15,70,1
dodge d200,11,8,318,210,4382,13.5,70,1
hi 1200d,9,8,304,193,4732,18.5,70,1
chevrolet vega 2300,28,4,140,90,2264,15.5,71,1
ford pinto,25,4,98,105,2046,19,71,1
amc gremlin,19,6,232,100,2634,13,71,1
plymouth satellite custom,16,6,225,105,3439,15.5,71,1
chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,1
ford torino 500,19,6,250,88,3302,15.5,71,1
amc matador,18,6,232,100,3288,15.5,71,1
chevrolet impala,14,8,350,165,4209,12,71,1
pontiac catalina brougham,14,8,400,175,4464,11.5,71,1
ford galaxie 500,14,8,351,153,4154,13.5,71,1
plymouth fury iii,14,8,318,150,4096,13,71,1
dodge monaco (sw),12,8,383,180,4955,11.5,71,1
ford country squire (sw),13,8,400,170,4746,12,71,1
pontiac safari (sw),13,8,400,175,5140,12,71,1
amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,1
chevrolet vega (sw),22,4,140,72,2408,19,71,1
pontiac firebird,19,6,250,100,3282,15,71,1
ford mustang,18,6,250,88,3139,14.5,71,1
mercury capri 2000,23,4,122,86,2220,14,71,1
plymouth cricket,26,4,91,70,1955,20.5,71,1
dodge colt hardtop,25,4,97.5,80,2126,17,72,1
chevrolet vega,20,4,140,90,2408,19.5,72,1
ford pinto runabout,21,4,122,86,2226,16.5,72,1
chevrolet impala,13,8,350,165,4274,12,72,1
pontiac catalina,14,8,400,175,4385,12,72,1
plymouth fury iii,15,8,318,150,4135,13.5,72,1
ford galaxie 500,14,8,351,153,4129,13,72,1
amc ambassador sst,17,8,304,150,3672,11.5,72,1
mercury marquis,11,8,429,208,4633,11,72,1
buick lesabre custom,13,8,350,155,4502,13.5,72,1
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,1
chrysler newport royal,13,8,400,190,4422,12.5,72,1
amc matador (sw),15,8,304,150,3892,12.5,72,1
chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,1
ford gran torino (sw),13,8,302,140,4294,16,72,1
plymouth satellite custom (sw),14,8,318,150,4077,14,72,1
ford pinto (sw),22,4,122,86,2395,16,72,1
dodge colt (sw),28,4,98,80,2164,15,72,1
buick century 350,13,8,350,175,4100,13,73,1
amc matador,14,8,304,150,3672,11.5,73,1
chevrolet malibu,13,8,350,145,3988,13,73,1
ford gran torino,14,8,302,137,4042,14.5,73,1
dodge coronet custom,15,8,318,150,3777,12.5,73,1
mercury marquis brougham,12,8,429,198,4952,11.5,73,1
chevrolet caprice classic,13,8,400,150,4464,12,73,1
ford ltd,13,8,351,158,4363,13,73,1
plymouth fury gran sedan,14,8,318,150,4237,14.5,73,1
chrysler new yorker brougham,13,8,440,215,4735,11,73,1
buick electra 225 custom,12,8,455,225,4951,11,73,1
amc ambassador brougham,13,8,360,175,3821,11,73,1
plymouth valiant,18,6,225,105,3121,16.5,73,1
chevrolet nova custom,16,6,250,100,3278,18,73,1
amc hornet,18,6,232,100,2945,16,73,1
ford maverick,18,6,250,88,3021,16.5,73,1
plymouth duster,23,6,198,95,2904,16,73,1
chevrolet impala,11,8,400,150,4997,14,73,1
ford country,12,8,400,167,4906,12.5,73,1
plymouth custom suburb,13,8,360,170,4654,13,73,1
oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,1
amc gremlin,18,6,232,100,2789,15,73,1
chevrolet vega,21,4,140,72,2401,19.5,73,1
ford pinto,19,4,122,85,2310,18.5,73,1
mercury capri v6,21,6,155,107,2472,14,73,1
chevrolet monte carlo s,15,8,350,145,4082,13,73,1
pontiac grand prix,16,8,400,230,4278,9.5,73,1
dodge dart custom,15,8,318,150,3399,11,73,1
oldsmobile omega,11,8,350,180,3664,11,73,1
plymouth duster,20,6,198,95,3102,16.5,74,1
ford maverick,21,6,200,100,2875,17,74,1
amc hornet,19,6,232,100,2901,16,74,1
chevrolet nova,15,6,250,100,3336,17,74,1
ford pinto,26,4,122,80,2451,16.5,74,1
chevrolet vega,25,4,140,75,2542,17,74,1
chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,1
amc matador,16,6,258,110,3632,18,74,1
plymouth satellite sebring,18,6,225,105,3613,16.5,74,1
ford gran torino,16,8,302,140,4141,14,74,1
buick century luxus (sw),13,8,350,150,4699,14.5,74,1
dodge coronet custom (sw),14,8,318,150,4457,13.5,74,1
ford gran torino (sw),14,8,302,140,4638,16,74,1
amc matador (sw),14,8,304,150,4257,15.5,74,1
dodge colt,28,4,90,75,2125,14.5,74,1
plymouth valiant custom,19,6,225,95,3264,16,75,1
chevrolet nova,18,6,250,105,3459,16,75,1
mercury monarch,15,6,250,72,3432,21,75,1
ford maverick,15,6,250,72,3158,19.5,75,1
pontiac catalina,16,8,400,170,4668,11.5,75,1
chevrolet bel air,15,8,350,145,4440,14,75,1
plymouth grand fury,16,8,318,150,4498,14.5,75,1
ford ltd,14,8,351,148,4657,13.5,75,1
buick century,17,6,231,110,3907,21,75,1
chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,1
amc matador,15,6,258,110,3730,19,75,1
plymouth fury,18,6,225,95,3785,19,75,1
buick skyhawk,21,6,231,110,3039,15,75,1
chevrolet monza 2+2,20,8,262,110,3221,13.5,75,1
ford mustang ii,13,8,302,129,3169,12,75,1
ford pinto,23,4,140,83,2639,17,75,1
amc gremlin,20,6,232,100,2914,16,75,1
pontiac astro,23,4,140,78,2592,18.5,75,1
ford pinto,18,6,171,97,2984,14.5,75,1
amc pacer,19,6,232,90,3211,17,75,1
capri ii,25,4,140,92,2572,14.9,76,1
dodge colt,26,4,98,79,2255,17.7,76,1
chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,1
dodge coronet brougham,16,8,318,150,4190,13,76,1
amc matador,15.5,8,304,120,3962,13.9,76,1
ford gran torino,14.5,8,351,152,4215,12.8,76,1
plymouth valiant,22,6,225,100,3233,15.4,76,1
chevrolet nova,22,6,250,105,3353,14.5,76,1
ford maverick,24,6,200,81,3012,17.6,76,1
amc hornet,22.5,6,232,90,3085,17.6,76,1
chevrolet chevette,29,4,85,52,2035,22.2,76,1
chevrolet woody,24.5,4,98,60,2164,22.1,76,1
dodge aspen se,20,6,225,100,3651,17.7,76,1
ford granada ghia,18,6,250,78,3574,21,76,1
pontiac ventura sj,18.5,6,250,110,3645,16.2,76,1
amc pacer d/l,17.5,6,258,95,3193,17.8,76,1
ford pinto,26.5,4,140,72,2565,13.6,76,1
plymouth volare premier v8,13,8,318,150,3940,13.2,76,1
cadillac seville,16.5,8,350,180,4380,12.1,76,1
chevy c10,13,8,350,145,4055,12,76,1
ford f108,13,8,302,130,3870,15,76,1
dodge d100,13,8,318,150,3755,14,76,1
buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,1
plymouth arrow gs,25.5,4,122,96,2300,15.5,77,1
chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,1
oldsmobile cutlass supreme,17,8,260,110,4060,19,77,1
dodge monaco brougham,15.5,8,318,145,4140,13.7,77,1
mercury cougar brougham,15,8,302,130,4295,14.9,77,1
chevrolet concours,17.5,6,250,110,3520,16.4,77,1
buick skylark,20.5,6,231,105,3425,16.9,77,1
plymouth volare custom,19,6,225,100,3630,17.7,77,1
ford granada,18.5,6,250,98,3525,19,77,1
pontiac grand prix lj,16,8,400,180,4220,11.1,77,1
chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,1
chrysler cordoba,15.5,8,400,190,4325,12.2,77,1
ford thunderbird,16,8,351,149,4335,14.5,77,1
pontiac sunbird coupe,24.5,4,151,88,2740,16,77,1
ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,1
chevrolet chevette,30.5,4,98,63,2051,17,77,1
dodge colt m/m,33.5,4,98,83,2075,15.9,77,1
ford fiesta,36.1,4,98,66,1800,14.4,78,1
oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,1
dodge diplomat,19.4,8,318,140,3735,13.2,78,1
mercury monarch ghia,20.2,8,302,139,3570,12.8,78,1
pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,1
chevrolet malibu,20.5,6,200,95,3155,18.2,78,1
ford fairmont (auto),20.2,6,200,85,2965,15.8,78,1
ford fairmont (man),25.1,4,140,88,2720,15.4,78,1
plymouth volare,20.5,6,225,100,3430,17.2,78,1
amc concord,19.4,6,232,90,3210,17.2,78,1
buick century special,20.6,6,231,105,3380,15.8,78,1
mercury zephyr,20.8,6,200,85,3070,16.7,78,1
dodge aspen,18.6,6,225,110,3620,18.7,78,1
amc concord d/l,18.1,6,258,120,3410,15.1,78,1
chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,1
buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,1
ford futura,18.1,8,302,139,3205,11.2,78,1
dodge magnum xe,17.5,8,318,140,4080,13.7,78,1
chevrolet chevette,30,4,98,68,2155,16.5,78,1
dodge omni,30.9,4,105,75,2230,14.5,78,1
plymouth sapporo,23.2,4,156,105,2745,16.7,78,1
oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,1
pontiac lemans v6,21.5,6,231,115,3245,15.4,79,1
mercury zephyr 6,19.8,6,200,85,2990,18.2,79,1
ford fairmont 4,22.3,4,140,88,2890,17.3,79,1
amc concord dl 6,20.2,6,232,90,3265,18.2,79,1
dodge aspen 6,20.6,6,225,110,3360,16.6,79,1
chevrolet caprice classic,17,8,305,130,3840,15.4,79,1
ford ltd landau,17.6,8,302,129,3725,13.4,79,1
mercury grand marquis,16.5,8,351,138,3955,13.2,79,1
dodge st. regis,18.2,8,318,135,3830,15.2,79,1
buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,1
ford country squire (sw),15.5,8,351,142,4054,14.3,79,1
chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,1
chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,1
dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,1
amc spirit dl,27.4,4,121,80,2670,15,79,1
cadillac eldorado,23,8,350,125,3900,17.4,79,1
oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,1
plymouth horizon,34.2,4,105,70,2200,13.2,79,1
plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,1
buick skylark limited,28.4,4,151,90,2670,16,79,1
chevrolet citation,28.8,6,173,115,2595,11.3,79,1
oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,1
pontiac phoenix,33.5,4,151,90,2556,13.2,79,1
chevrolet chevette,32.1,4,98,70,2120,15.5,80,1
chevrolet citation,28,4,151,90,2678,16.5,80,1
ford fairmont,26.4,4,140,88,2870,18.1,80,1
amc concord,24.3,4,151,90,3003,20.1,80,1
dodge aspen,19.1,6,225,90,3381,18.7,80,1
dodge colt,27.9,4,156,105,2800,14.4,80,1
ford mustang cobra,23.6,4,140,90,2905,14.3,80,1
plymouth reliant,27.2,4,135,84,2490,15.7,81,1
buick skylark,26.6,4,151,84,2635,16.4,81,1
dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,1
chevrolet citation,23.5,6,173,110,2725,12.6,81,1
plymouth reliant,30,4,135,84,2385,12.9,81,1
plymouth champ,39,4,86,64,1875,16.4,81,1
plymouth horizon 4,34.7,4,105,63,2215,14.9,81,1
ford escort 4w,34.4,4,98,65,2045,16.2,81,1
ford escort 2h,29.9,4,98,65,2380,20.7,81,1
buick century,22.4,6,231,110,3415,15.8,81,1
oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,1
ford granada gl,20.2,6,200,88,3060,17.1,81,1
chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,1
chevrolet cavalier,28,4,112,88,2605,19.6,82,1
chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,1
chevrolet cavalier 2-door,34,4,112,88,2395,18,82,1
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,1
dodge aries se,29,4,135,84,2525,16,82,1
pontiac phoenix,27,4,151,90,2735,18,82,1
ford fairmont futura,24,4,140,92,2865,16.4,82,1
amc concord dl,23,4,151,75,3035,20.5,82,1
plymouth horizon miser,38,4,105,63,2125,14.7,82,1
mercury lynx l,36,4,98,70,2125,17.3,82,1
buick century limited,25,6,181,110,2945,16.4,82,1
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,1
chrysler lebaron medallion,26,4,156,92,2585,14.5,82,1
ford granada l,22,6,232,112,2835,14.7,82,1
dodge charger 2.2,36,4,135,84,2370,13,82,1
chevrolet camaro,27,4,151,90,2950,17.3,82,1
ford mustang gl,27,4,140,86,2790,15.6,82,1
dodge rampage,32,4,135,84,2295,11.6,82,1
ford ranger,28,4,120,79,2625,18.6,82,1
chevy s-10,31,4,119,82,2720,19.4,82,1
